reference	props	spec_cons	x	y
680	3.7	206	227832.589	2161112.807
683	3.7	206	227774.685	2161111.698
686	3.7	206	227810.142	2161117.531
689	3.7	206	227764.379	2161113.672
68C	3.7	206	227753.955	2161115.755
68F	3.7	206	227692.693	2161118.759
692	3.7	206	227747.07	2161116.739
695	3.7	206	227740.089	2161117.919
698	3.7	206	227794.523	2161121.527
69B	3.7	206	227729.982	2161095.017
69E	3.7	206	227809.877	2161124.746
6A1	3.7	206	227795.71	2161128.369
6A4	3.7	206	227690.947	2161128.26
6A7	3.7	206	227796.635	2161136.885
6AA	3.7	206	227779.535	2161137.321
6AD	3.7	206	227771.543	2161141
6B0	3.7	206	227686.219	2161143.416
6B3	3.7	206	227762.763	2161143.69
6B6	3.7	206	227753.865	2161146.391
6B9	3.7	206	227745.428	2161148.051
6BC	3.7	206	227737.059	2161149.057
6BF	3.7	206	227728.375	2161150.436
6C2	3.7	206	227720.017	2161150.613
6C5	3.7	206	227707.249	2161155.24
